client_id,health_score,churn_risk_score,engagement_score,satisfaction_score,support_score,renewal_probability,risk_level,expansion_opportunity_flag
CLT001,91,89,40,97,88,95,High,Yes
CLT002,99,55,54,51,91,84,Medium,No
CLT003,53,72,55,98,94,47,Medium,No
CLT004,58,60,82,73,75,78,Medium,No
CLT005,98,57,79,92,86,97,Medium,No
CLT006,85,58,97,50,87,95,Medium,No
CLT007,78,34,88,55,93,80,Low,No
CLT008,99,100,73,71,80,55,High,No
CLT009,78,10,85,58,55,57,Low,No
CLT010,70,70,45,48,49,54,Medium,No
CLT011,94,20,85,53,44,66,Low,No
CLT012,71,70,69,66,43,53,Medium,No
CLT013,74,99,77,100,84,41,High,No
CLT014,80,1,100,62,59,88,Low,No
CLT015,76,69,87,87,74,91,Medium,Yes
CLT016,81,29,57,67,71,41,Low,No
CLT017,71,86,83,91,65,86,High,Yes
CLT018,79,17,79,74,41,98,Low,No
CLT019,87,73,82,41,45,81,Medium,No
CLT020,58,60,51,43,56,64,Medium,No
CLT021,63,59,60,61,88,96,Medium,No
CLT022,67,97,100,93,66,56,High,Yes
CLT023,80,3,87,74,43,100,Low,No
CLT024,64,84,44,89,81,42,High,Yes
CLT025,65,26,93,41,79,49,Low,Yes
CLT026,58,61,82,47,76,100,Medium,Yes
CLT027,79,90,56,89,63,50,High,Yes
CLT028,99,21,59,46,77,41,Low,No
CLT029,86,87,98,64,65,100,High,Yes
CLT030,54,76,84,93,80,55,High,Yes
CLT031,94,99,59,94,83,78,High,Yes
CLT032,100,73,90,42,62,74,Medium,No
CLT033,92,48,44,72,81,61,Medium,Yes
CLT034,76,63,46,67,63,80,Medium,No
CLT035,95,20,67,51,86,73,Low,No
CLT036,89,69,89,70,69,67,Medium,No
CLT037,70,32,93,99,45,57,Low,No
CLT038,65,97,69,76,79,82,High,No
CLT039,71,4,71,94,60,51,Low,No
CLT040,63,46,91,56,61,57,Medium,No
