revenue_id,client_id,client_name,project_id,project_name,invoice_id,contract_id,revenue_period,revenue_date,revenue_amount,currency,revenue_type,revenue_stream,monthly_recurring_revenue_mrr,annual_recurring_revenue_arr,gross_revenue,net_revenue,tax_amount,profit_margin,recognition_date,payment_status,outstanding_amount,collection_days,revenue_growth_percentage,revenue_band,forecast_revenue,upsell_revenue,country,billing_frequency
REV0001,CLT009,Harrison-George,PRJ017,Aggregate Transparent Info-Mediaries,INV0001,CON035,Mar-25,45916,1923323,SGD,Deferred,One-time,160276.92,1923323,1923323,1577124.86,346198.14,20.5,05-11-2025,Paid,208877,17,24.53,Low,1003735,426675,Australia,Quarterly
REV0002,CLT031,"Dean, Spencer and Walker",PRJ004,Visualize Next-Generation Roi,INV0002,CON029,Jan-25,45855,1809451,SGD,Deferred,One-time,150787.58,1809451,1809451,1483749.82,325701.18,22.63,26-05-2025,Pending,180428,7,10.59,Medium,2950389,317496,UK,Monthly
REV0003,CLT037,Frederick Inc,PRJ018,Productize Customized Synergies,INV0003,CON012,Jul-25,46005,1257738,USD,Deferred,One-time,104811.5,1257738,1257738,1031345.16,226392.84,33.56,27-09-2025,Overdue,406189,62,34.48,Medium,2673892,150220,Australia,Quarterly
REV0004,CLT010,Orozco-Graves,PRJ006,Optimize Wireless Info-Mediaries,INV0004,CON041,Aug-25,46031,1870868,USD,Deferred,One-time,155905.67,1870868,1870868,1534111.76,336756.24,39.71,07-12-2025,Paid,41477,25,7.18,Medium,1429083,342366,UK,Quarterly
REV0005,CLT018,Brown-Smith,PRJ013,Disintermediate Bricks-And-Clicks Users,INV0005,CON018,Aug-25,45841,1319584,USD,Deferred,One-time,109965.33,1319584,1319584,1082058.88,237525.12,24.49,29-10-2025,Partial,447853,7,-3.75,Low,2876723,131935,India,Annual
REV0006,CLT006,Robinson PLC,PRJ006,Transition Real-Time E-Tailers,INV0006,CON026,Jul-25,45837,491600,INR,Recognized,Recurring,40966.67,491600,491600,403112,88488,42.79,07-12-2025,Overdue,287537,11,-8.68,Medium,2297743,401078,USA,Monthly
REV0007,CLT007,Bailey Inc,PRJ020,Extend Seamless Paradigms,INV0007,CON010,Jan-25,46038,600402,INR,Accrued,One-time,50033.5,600402,600402,492329.64,108072.36,20.83,15-09-2025,Partial,386711,41,12.16,Low,650616,276164,Australia,Monthly
REV0008,CLT002,"Sellers, Robertson and Powers",PRJ012,Redefine Mission-Critical Portals,INV0008,CON056,Apr-25,46150,123725,USD,Deferred,One-time,10310.42,123725,123725,101454.5,22270.5,44.12,21-12-2025,Pending,287595,61,-3.24,High,2361936,92818,India,Annual
REV0009,CLT039,Atkinson-Willis,PRJ019,Iterate Interactive Synergies,INV0009,CON028,Aug-25,45997,1007440,SGD,Accrued,One-time,83953.33,1007440,1007440,826100.8,181339.2,41.81,25-06-2025,Overdue,282941,34,30.24,Medium,1391292,191775,USA,Quarterly
REV0010,CLT017,Wang LLC,PRJ010,Facilitate Customized Convergence,INV0010,CON001,Nov-25,46124,376563,INR,Accrued,Recurring,31380.25,376563,376563,308781.66,67781.34,22.04,23-01-2026,Overdue,280545,6,24.39,Medium,2100964,157082,Australia,Monthly
REV0011,CLT028,Hanson-Anthony,PRJ010,Architect Global Synergies,INV0011,CON039,Jul-25,46006,1723453,INR,Recognized,One-time,143621.08,1723453,1723453,1413231.46,310221.54,16.6,18-05-2026,Overdue,206963,36,-1.84,High,2809481,204327,USA,Quarterly
REV0012,CLT015,Harper Group,PRJ003,Incentivize 24/7 Systems,INV0012,CON028,Oct-25,45895,601509,SGD,Recognized,One-time,50125.75,601509,601509,493237.38,108271.62,19.96,20-12-2025,Pending,216480,29,32.67,Low,673042,151831,UK,Monthly
REV0013,CLT030,Morrow-Robinson,PRJ015,Mesh Killer Convergence,INV0013,CON018,Sep-25,46158,1345472,SGD,Accrued,One-time,112122.67,1345472,1345472,1103287.04,242184.96,16.57,22-07-2025,Paid,79770,11,38.49,Low,879878,53620,UK,Quarterly
REV0014,CLT018,Brown-Smith,PRJ015,Revolutionize Open-Source Solutions,INV0014,CON047,Jan-25,45924,312226,INR,Recognized,Recurring,26018.83,312226,312226,256025.32,56200.68,15.27,28-05-2025,Overdue,113869,48,11.01,Medium,1657752,243104,India,Annual
REV0015,CLT003,Montes and Sons,PRJ003,Embrace Customized Initiatives,INV0015,CON054,Apr-25,45974,742581,INR,Recognized,One-time,61881.75,742581,742581,608916.42,133664.58,37.15,07-06-2025,Paid,284789,65,-0.92,Medium,1700451,434242,UK,Monthly
REV0016,CLT008,"Stewart, Clark and Owen",PRJ008,Engineer End-To-End Models,INV0016,CON025,Jan-25,45975,1660918,USD,Recognized,Recurring,138409.83,1660918,1660918,1361952.76,298965.24,16.97,16-08-2025,Paid,273226,90,39.11,Medium,1732099,357272,USA,Quarterly
REV0017,CLT021,Rodriguez-Beard,PRJ002,Re-Contextualize Seamless Channels,INV0017,CON048,Jun-25,45871,382632,SGD,Accrued,Recurring,31886,382632,382632,313758.24,68873.76,18.87,14-12-2025,Pending,104188,51,34.38,High,1013470,59207,USA,Monthly
REV0018,CLT028,Hanson-Anthony,PRJ001,Morph Frictionless E-Services,INV0018,CON011,Sep-25,45995,730554,USD,Accrued,Recurring,60879.5,730554,730554,599054.28,131499.72,23.85,24-01-2026,Partial,4681,10,19.05,High,2093429,360923,USA,Annual
