survey_id,client_id,net_promoter_score,customer_category,feedback_comment,service_quality_score,renewal_intent,recommendation_likelihood,survey_date
SRV001,CLT039,2,Detractor,Sort food television bank father.,4,Medium,6,12-11-2025
SRV002,CLT008,8,Passive,Ground ask adult maybe economy everybody figure study.,8,Medium,4,30-07-2025
SRV003,CLT038,3,Detractor,Support want glass without news pass.,7,High,4,26-10-2025
SRV004,CLT003,3,Detractor,Care community wind red daughter design process.,10,Low,3,05-06-2025
SRV005,CLT009,9,Promoter,Road marriage entire process.,1,Low,3,22-12-2025
SRV006,CLT004,3,Detractor,Of music option however issue hotel.,5,High,9,30-10-2025
SRV007,CLT026,10,Promoter,Science feeling center yes kid fact water.,10,Low,1,28-03-2026
SRV008,CLT019,2,Detractor,Place smile instead simply Democrat.,4,Medium,10,03-02-2026
SRV009,CLT031,8,Passive,Rock human rich walk.,3,High,7,31-03-2026
SRV010,CLT039,3,Detractor,Seem once prepare grow two.,10,High,10,03-03-2026
SRV011,CLT033,5,Detractor,Season act should fund shake memory.,3,Low,6,29-12-2025
SRV012,CLT030,10,Promoter,Within whether movement study voice arrive.,10,High,4,10-06-2025
SRV013,CLT025,7,Passive,Attorney behavior deep these.,3,High,1,03-02-2026
SRV014,CLT013,9,Promoter,Across position possible recently a.,9,Low,7,27-03-2026
SRV015,CLT010,10,Promoter,Test whether situation beyond.,2,High,8,28-08-2025
SRV016,CLT040,10,Promoter,Seat test area education house than language.,1,Low,9,05-05-2026
SRV017,CLT008,2,Detractor,Its season away pull both arm meet.,8,Low,3,06-04-2026
SRV018,CLT039,9,Promoter,Card cultural mother would difference road.,1,Low,7,23-06-2025
SRV019,CLT034,7,Passive,Factor remain answer stay plan though.,6,High,9,27-06-2025
SRV020,CLT028,4,Detractor,Again radio put create possible sure relate.,8,Medium,6,21-04-2026
SRV021,CLT038,10,Promoter,Since teach finish form cultural Mrs everyone.,2,Medium,3,09-04-2026
SRV022,CLT017,8,Passive,Position whatever final stay month these.,4,High,5,05-02-2026
SRV023,CLT039,9,Promoter,Tree scientist fear.,7,Medium,4,28-12-2025
SRV024,CLT001,1,Detractor,Space recently technology speak.,10,Low,2,29-10-2025
SRV025,CLT034,1,Detractor,Than long article nature.,7,Low,4,13-05-2026
SRV026,CLT021,7,Passive,Lot magazine out say.,6,High,3,14-06-2025
SRV027,CLT028,10,Promoter,Pick possible set team maybe.,5,Medium,9,19-10-2025
SRV028,CLT028,10,Promoter,Represent she spend forward increase.,6,Low,5,09-08-2025
SRV029,CLT026,4,Detractor,Current difficult nice when research determine.,7,Low,9,19-05-2026
SRV030,CLT031,3,Detractor,Order stock support position assume certainly off.,6,Low,9,25-05-2025
SRV031,CLT031,5,Detractor,Item old threat old media behavior.,5,Low,6,25-07-2025
SRV032,CLT026,3,Detractor,Summer responsibility current open imagine course be.,2,Low,4,17-05-2026
SRV033,CLT029,3,Detractor,Toward paper size wind order structure responsibility.,2,High,9,06-06-2025
SRV034,CLT026,6,Detractor,Admit office medical task perhaps.,9,Low,1,29-01-2026
SRV035,CLT011,7,Passive,Bring security yeah trial skill floor.,1,High,3,24-09-2025
SRV036,CLT031,10,Promoter,Agency pattern high fund according follow.,7,High,2,02-07-2025
SRV037,CLT017,4,Detractor,Where take case.,6,High,10,23-09-2025
SRV038,CLT003,7,Passive,Court strong pretty fall off father there.,7,Low,9,10-01-2026
SRV039,CLT019,10,Promoter,Edge other realize term leg five large.,1,High,8,05-06-2025
SRV040,CLT029,1,Detractor,Sing student very.,4,Low,9,22-10-2025
SRV041,CLT019,4,Detractor,Cell everything song authority.,1,Low,9,26-12-2025
SRV042,CLT034,4,Detractor,Suffer us happy whose respond sister institution.,10,High,1,02-07-2025
SRV043,CLT024,4,Detractor,Late born series child.,1,High,2,29-10-2025
SRV044,CLT018,7,Passive,General billion issue opportunity among.,6,Low,7,27-09-2025
SRV045,CLT026,10,Promoter,Success central suggest Republican away political.,4,Low,1,27-07-2025
SRV046,CLT005,2,Detractor,Team note action.,9,Medium,9,17-10-2025
SRV047,CLT038,6,Detractor,Usually sit executive real.,6,Medium,4,15-06-2025
SRV048,CLT039,4,Detractor,Discussion impact number wind result.,8,Medium,10,01-08-2025
SRV049,CLT001,5,Detractor,Environmental evening board pay natural democratic too full.,3,Medium,9,06-11-2025
SRV050,CLT007,9,Promoter,Various travel power.,2,Low,5,24-11-2025
SRV051,CLT022,2,Detractor,Score federal call treat white table agency.,9,Medium,9,09-11-2025
SRV052,CLT037,5,Detractor,There charge rock whatever understand cut of mind.,8,Medium,10,26-05-2025
