leave_id,emp_id,leave_type,start_date,end_date,days_taken,status
LEV0001,EMP049,Earned Leave,25-10-2025,27-10-2025,2,Pending
LEV0002,EMP079,Paternity Leave,13-05-2025,16-05-2025,3,Pending
LEV0003,EMP031,Paternity Leave,18-05-2025,26-05-2025,8,Pending
LEV0004,EMP047,Maternity Leave,05-04-2025,13-04-2025,8,Approved
LEV0005,EMP054,Earned Leave,25-12-2025,31-12-2025,6,Pending
LEV0006,EMP036,Paternity Leave,19-08-2025,22-08-2025,3,Approved
LEV0007,EMP074,Sick Leave,18-12-2025,22-12-2025,4,Rejected
LEV0008,EMP035,Maternity Leave,01-05-2025,10-05-2025,9,Pending
LEV0009,EMP026,Maternity Leave,16-03-2025,19-03-2025,3,Approved
LEV0010,EMP023,Casual Leave,04-08-2025,12-08-2025,8,Rejected
LEV0011,EMP067,Maternity Leave,01-10-2025,07-10-2025,6,Pending
LEV0012,EMP033,Sick Leave,15-10-2025,25-10-2025,10,Pending
LEV0013,EMP013,Sick Leave,20-12-2025,23-12-2025,3,Approved
LEV0014,EMP033,Maternity Leave,01-09-2025,03-09-2025,2,Rejected
LEV0015,EMP043,Earned Leave,14-05-2025,20-05-2025,6,Rejected
LEV0016,EMP072,Sick Leave,12-05-2025,18-05-2025,6,Pending
LEV0017,EMP016,Casual Leave,29-06-2025,09-07-2025,10,Rejected
LEV0018,EMP074,Casual Leave,29-11-2025,08-12-2025,9,Pending
LEV0019,EMP046,Maternity Leave,16-06-2025,25-06-2025,9,Rejected
LEV0020,EMP058,Paternity Leave,10-02-2025,17-02-2025,7,Pending
LEV0021,EMP060,Casual Leave,20-11-2025,23-11-2025,3,Rejected
LEV0022,EMP044,Paternity Leave,04-08-2025,14-08-2025,10,Pending
LEV0023,EMP010,Earned Leave,10-02-2025,13-02-2025,3,Approved
LEV0024,EMP041,Earned Leave,12-06-2025,17-06-2025,5,Rejected
LEV0025,EMP083,Maternity Leave,22-07-2025,27-07-2025,5,Pending
LEV0026,EMP096,Maternity Leave,28-10-2025,06-11-2025,9,Pending
LEV0027,EMP022,Casual Leave,05-04-2025,06-04-2025,1,Rejected
LEV0028,EMP031,Sick Leave,05-12-2025,10-12-2025,5,Approved
LEV0029,EMP022,Sick Leave,23-07-2025,25-07-2025,2,Approved
LEV0030,EMP061,Sick Leave,08-10-2025,09-10-2025,1,Pending
LEV0031,EMP068,Earned Leave,12-02-2025,14-02-2025,2,Rejected
LEV0032,EMP020,Earned Leave,13-02-2025,20-02-2025,7,Approved
LEV0033,EMP032,Casual Leave,26-05-2025,03-06-2025,8,Approved
LEV0034,EMP068,Sick Leave,29-03-2025,30-03-2025,1,Rejected
LEV0035,EMP046,Maternity Leave,16-06-2025,24-06-2025,8,Rejected
LEV0036,EMP035,Casual Leave,08-10-2025,16-10-2025,8,Rejected
LEV0037,EMP070,Paternity Leave,01-04-2025,11-04-2025,10,Pending
LEV0038,EMP081,Maternity Leave,22-11-2025,02-12-2025,10,Rejected
LEV0039,EMP082,Earned Leave,24-11-2025,03-12-2025,9,Pending
LEV0040,EMP062,Sick Leave,04-10-2025,08-10-2025,4,Pending
LEV0041,EMP040,Earned Leave,07-07-2025,14-07-2025,7,Approved
LEV0042,EMP039,Paternity Leave,06-01-2025,07-01-2025,1,Approved
LEV0043,EMP045,Paternity Leave,27-05-2025,04-06-2025,8,Approved
LEV0044,EMP089,Earned Leave,09-09-2025,17-09-2025,8,Approved
LEV0045,EMP099,Paternity Leave,09-08-2025,14-08-2025,5,Approved
LEV0046,EMP001,Casual Leave,08-10-2025,14-10-2025,6,Pending
LEV0047,EMP072,Casual Leave,12-08-2025,19-08-2025,7,Approved
LEV0048,EMP092,Maternity Leave,27-11-2025,04-12-2025,7,Approved
LEV0049,EMP034,Casual Leave,10-02-2025,17-02-2025,7,Rejected
LEV0050,EMP098,Earned Leave,10-11-2025,15-11-2025,5,Rejected
LEV0051,EMP096,Maternity Leave,30-09-2025,05-10-2025,5,Approved
LEV0052,EMP009,Earned Leave,04-04-2025,07-04-2025,3,Approved
LEV0053,EMP082,Maternity Leave,22-08-2025,01-09-2025,10,Pending
LEV0054,EMP090,Casual Leave,15-11-2025,23-11-2025,8,Pending
LEV0055,EMP003,Paternity Leave,19-03-2025,20-03-2025,1,Approved
LEV0056,EMP024,Earned Leave,22-02-2025,27-02-2025,5,Approved
LEV0057,EMP092,Casual Leave,13-08-2025,14-08-2025,1,Approved
LEV0058,EMP020,Casual Leave,08-01-2025,16-01-2025,8,Pending
LEV0059,EMP054,Earned Leave,09-06-2025,17-06-2025,8,Pending
LEV0060,EMP090,Sick Leave,17-01-2025,23-01-2025,6,Approved
LEV0061,EMP008,Sick Leave,17-05-2025,24-05-2025,7,Rejected
LEV0062,EMP061,Earned Leave,03-04-2025,07-04-2025,4,Pending
LEV0063,EMP002,Maternity Leave,04-03-2025,08-03-2025,4,Pending
LEV0064,EMP032,Maternity Leave,18-01-2025,22-01-2025,4,Rejected
LEV0065,EMP099,Casual Leave,18-02-2025,27-02-2025,9,Pending
LEV0066,EMP050,Earned Leave,15-12-2025,20-12-2025,5,Approved
LEV0067,EMP081,Paternity Leave,22-01-2025,31-01-2025,9,Approved
LEV0068,EMP033,Casual Leave,04-09-2025,09-09-2025,5,Pending
