emp_id,skill_name,skill_category,proficiency_level,certification_flag
EMP001,Snowflake,Soft Skill,Expert,Yes
EMP001,Power BI,Technical,Advanced,No
EMP001,React,Functional,Expert,Yes
EMP001,Azure,Technical,Intermediate,No
EMP001,Leadership,Functional,Expert,No
EMP001,SQL,Functional,Beginner,No
EMP002,Azure,Functional,Beginner,Yes
EMP002,Communication,Functional,Beginner,No
EMP002,Leadership,Functional,Expert,No
EMP002,Java,Functional,Advanced,No
EMP002,Project Management,Soft Skill,Intermediate,No
EMP003,Data Engineering,Technical,Expert,No
EMP003,Communication,Functional,Expert,Yes
EMP003,Azure,Functional,Expert,No
EMP003,Java,Functional,Advanced,Yes
EMP003,Machine Learning,Soft Skill,Intermediate,Yes
EMP004,Communication,Functional,Advanced,Yes
EMP004,Java,Functional,Expert,Yes
EMP004,Azure,Soft Skill,Advanced,Yes
EMP005,Leadership,Functional,Expert,No
EMP005,SQL,Soft Skill,Expert,Yes
EMP005,Snowflake,Functional,Beginner,Yes
EMP005,Project Management,Technical,Advanced,Yes
EMP005,Power BI,Soft Skill,Beginner,No
EMP006,Project Management,Functional,Intermediate,Yes
EMP006,Snowflake,Functional,Advanced,No
EMP006,Power BI,Functional,Intermediate,No
EMP006,Python,Technical,Expert,Yes
EMP006,Leadership,Functional,Expert,Yes
EMP007,Communication,Functional,Advanced,No
EMP007,SQL,Technical,Expert,No
EMP007,Machine Learning,Functional,Beginner,No
EMP008,Machine Learning,Functional,Beginner,Yes
EMP008,Power BI,Soft Skill,Intermediate,Yes
EMP008,AWS,Soft Skill,Intermediate,No
EMP008,Python,Soft Skill,Expert,No
EMP008,Communication,Technical,Expert,Yes
EMP008,Data Engineering,Technical,Expert,No
EMP009,Communication,Functional,Expert,No
EMP009,Data Engineering,Technical,Intermediate,Yes
EMP009,Azure,Functional,Beginner,Yes
EMP010,Machine Learning,Technical,Advanced,No
EMP010,Project Management,Soft Skill,Advanced,No
EMP010,Azure,Soft Skill,Expert,Yes
EMP010,Java,Functional,Advanced,No
EMP011,Leadership,Soft Skill,Beginner,Yes
EMP011,Communication,Functional,Beginner,Yes
EMP011,AWS,Functional,Beginner,Yes
EMP011,Data Engineering,Functional,Intermediate,No
EMP012,Data Engineering,Functional,Intermediate,Yes
EMP012,SQL,Functional,Advanced,Yes
EMP012,Project Management,Technical,Advanced,No
EMP012,Snowflake,Soft Skill,Beginner,No
EMP012,Leadership,Technical,Expert,Yes
EMP012,Communication,Technical,Expert,No
EMP013,Leadership,Technical,Beginner,Yes
EMP013,Java,Functional,Beginner,No
EMP013,Snowflake,Technical,Advanced,Yes
EMP013,Communication,Functional,Expert,Yes
EMP013,Data Engineering,Soft Skill,Beginner,No
EMP013,SQL,Soft Skill,Advanced,Yes
EMP014,React,Technical,Expert,No
EMP014,Azure,Functional,Beginner,No
EMP014,Snowflake,Technical,Intermediate,Yes
EMP014,Power BI,Soft Skill,Advanced,No
EMP014,Communication,Technical,Intermediate,Yes
EMP014,AWS,Technical,Beginner,No
EMP015,Data Engineering,Functional,Advanced,Yes
EMP015,React,Technical,Expert,Yes
EMP015,SQL,Functional,Intermediate,Yes
EMP015,Machine Learning,Technical,Intermediate,No
EMP015,AWS,Technical,Expert,No
EMP016,Data Engineering,Functional,Expert,Yes
EMP016,Leadership,Soft Skill,Beginner,No
EMP016,AWS,Soft Skill,Advanced,No
EMP016,Snowflake,Functional,Expert,No
EMP017,Project Management,Soft Skill,Expert,No
EMP017,Communication,Technical,Expert,Yes
EMP017,Power BI,Functional,Intermediate,No
EMP018,Machine Learning,Soft Skill,Expert,No
EMP018,AWS,Soft Skill,Beginner,Yes
EMP018,Project Management,Technical,Expert,Yes
EMP018,React,Technical,Intermediate,No
EMP018,SQL,Functional,Beginner,No
EMP019,Communication,Technical,Advanced,Yes
EMP019,SQL,Soft Skill,Advanced,No
EMP019,Leadership,Technical,Advanced,Yes
EMP019,AWS,Technical,Expert,No
EMP020,Snowflake,Technical,Intermediate,No
EMP020,Leadership,Technical,Intermediate,Yes
EMP020,Power BI,Soft Skill,Expert,Yes
EMP020,Communication,Technical,Advanced,Yes
EMP021,Communication,Technical,Beginner,Yes
EMP021,SQL,Functional,Advanced,No
EMP021,Java,Technical,Expert,Yes
EMP021,Power BI,Soft Skill,Intermediate,Yes
EMP021,Azure,Soft Skill,Beginner,Yes
EMP021,Snowflake,Functional,Advanced,Yes
EMP022,Snowflake,Technical,Beginner,Yes
EMP022,Data Engineering,Technical,Beginner,No
EMP022,Leadership,Functional,Expert,No
EMP022,Java,Technical,Intermediate,No
EMP023,Azure,Soft Skill,Advanced,Yes
EMP023,React,Soft Skill,Advanced,Yes
EMP023,Data Engineering,Soft Skill,Intermediate,No
EMP024,Leadership,Technical,Intermediate,No
EMP024,Python,Soft Skill,Beginner,Yes
EMP024,Azure,Functional,Advanced,Yes
EMP024,Java,Functional,Expert,No
EMP024,Snowflake,Soft Skill,Intermediate,No
EMP025,Python,Technical,Advanced,Yes
EMP025,Data Engineering,Technical,Beginner,No
EMP025,Power BI,Soft Skill,Advanced,No
EMP026,Communication,Functional,Beginner,No
EMP026,Snowflake,Technical,Intermediate,Yes
