invoice_id,client_id,project_id,contract_id,invoice_date,due_date,invoice_amount,tax_amount,discount_amount,total_payable,invoice_status,currency,invoice_type
INV00001,CLT008,PRJ001,CON048,03-11-2025,02-12-2025,2357113,424280.34,66237,2781393.34,Paid,SGD,Subscription
INV00002,CLT001,PRJ006,CON045,25-02-2026,14-03-2026,3595146,647126.28,95647,4242272.28,Paid,USD,Support
INV00003,CLT024,PRJ019,CON013,27-11-2025,22-12-2025,633470,114024.6,48520,747494.6,Partial,INR,One-time
INV00004,CLT011,PRJ015,CON025,23-10-2025,20-11-2025,2314486,416607.48,74341,2731093.48,Paid,INR,One-time
INV00005,CLT016,PRJ018,CON035,22-11-2025,16-01-2026,2254036,405726.48,20969,2659762.48,Partial,SGD,Support
INV00006,CLT001,PRJ004,CON044,18-06-2025,04-08-2025,4554433,819797.94,13947,5374230.94,Partial,USD,One-time
INV00007,CLT034,PRJ001,CON039,05-03-2026,24-03-2026,2769218,498459.24,99693,3267677.24,Pending,INR,Milestone
INV00008,CLT035,PRJ007,CON046,20-12-2025,04-01-2026,2664865,479675.7,9305,3144540.7,Partial,INR,Subscription
INV00009,CLT014,PRJ018,CON009,04-07-2025,22-07-2025,4840256,871246.08,88259,5711502.08,Paid,INR,Subscription
INV00010,CLT029,PRJ005,CON028,08-11-2025,19-12-2025,1589209,286057.62,63653,1875266.62,Paid,INR,Support
INV00011,CLT030,PRJ010,CON028,20-02-2026,08-04-2026,4712122,848181.96,69615,5560303.96,Paid,SGD,Milestone
INV00012,CLT016,PRJ013,CON008,21-09-2025,31-10-2025,4828783,869180.94,17154,5697963.94,Pending,USD,One-time
INV00013,CLT014,PRJ017,CON017,15-12-2025,18-01-2026,1161126,209002.68,86951,1370128.68,Overdue,SGD,Subscription
INV00014,CLT019,PRJ020,CON014,25-09-2025,18-10-2025,2926288,526731.84,83507,3453019.84,Paid,INR,One-time
INV00015,CLT005,PRJ005,CON035,08-07-2025,14-08-2025,352225,63400.5,73385,415625.5,Paid,USD,Support
INV00016,CLT022,PRJ014,CON052,11-06-2025,10-07-2025,2131777,383719.86,3101,2515496.86,Overdue,INR,Milestone
INV00017,CLT035,PRJ011,CON002,13-03-2026,09-04-2026,1017556,183160.08,33386,1200716.08,Overdue,USD,Subscription
INV00018,CLT021,PRJ004,CON047,10-02-2026,05-04-2026,2569285,462471.3,74593,3031756.3,Partial,INR,One-time
INV00019,CLT021,PRJ015,CON029,16-06-2025,13-08-2025,3759105,676638.9,40687,4435743.9,Partial,SGD,Milestone
INV00020,CLT027,PRJ019,CON013,10-02-2026,12-03-2026,3271044,588787.92,15906,3859831.92,Paid,USD,Support
