analysis_id,client_id,project_id,revenue_id,gross_revenue,actual_cost,net_profit,profit_margin_percentage,resource_cost,operational_cost,tax_cost,discount_cost,profitability_score,profitability_band,analysis_date
PRF00001,CLT008,PRJ001,REV00001,2357113,1199632,733200.66,37.93,331148,285514,424280.34,77236,57,High,09-11-2025
PRF00002,CLT001,PRJ006,REV00002,3595146,2151615,796404.72,27.01,678856,203709,647126.28,82397,79,Medium,02-03-2026
PRF00003,CLT024,PRJ019,REV00003,633470,265400,254045.4,48.91,279451,330043,114024.6,95568,55,High,01-12-2025
PRF00004,CLT011,PRJ015,REV00004,2314486,1596882,300996.52,15.86,581141,124905,416607.48,34718,48,Low,31-10-2025
PRF00005,CLT016,PRJ018,REV00005,2254036,1684914,163395.52,8.84,654816,181813,405726.48,72512,95,Low,29-11-2025
PRF00006,CLT001,PRJ004,REV00006,4554433,3396477,338158.06,9.05,899550,134698,819797.94,70697,89,Low,25-06-2025
PRF00007,CLT034,PRJ001,REV00007,2769218,2132367,138391.76,6.09,736059,271846,498459.24,27760,99,Low,07-03-2026
PRF00008,CLT035,PRJ007,REV00008,2664865,1902693,282496.3,12.93,349565,196002,479675.7,87684,71,Low,26-12-2025
PRF00009,CLT014,PRJ018,REV00009,4840256,3144505,824504.92,20.77,360735,150448,871246.08,24931,74,Medium,06-07-2025
PRF00010,CLT029,PRJ005,REV00010,1589209,927758,375393.38,28.81,497382,51130,286057.62,51173,56,Medium,15-11-2025
PRF00011,CLT030,PRJ010,REV00011,4712122,3272892,591048.04,15.3,723939,85631,848181.96,88501,95,Low,22-02-2026
PRF00012,CLT016,PRJ013,REV00012,4828783,2447864,1511738.06,38.18,690341,102418,869180.94,9602,74,High,26-09-2025
PRF00013,CLT014,PRJ017,REV00013,1161126,647431,304692.32,32,878480,340048,209002.68,20374,57,Medium,16-12-2025
PRF00014,CLT019,PRJ020,REV00014,2926288,1597489,802067.16,33.43,548462,344076,526731.84,1267,47,Medium,29-09-2025
PRF00015,CLT005,PRJ005,REV00015,352225,237677,51147.5,17.71,532322,62995,63400.5,23509,87,Low,16-07-2025
PRF00016,CLT022,PRJ014,REV00016,2131777,1132476,615581.14,35.22,772642,317075,383719.86,52386,83,High,17-06-2025
PRF00017,CLT035,PRJ011,REV00017,1017556,543973,290422.92,34.81,173372,398251,183160.08,43279,79,Medium,13-03-2026
PRF00018,CLT021,PRJ004,REV00018,2569285,1559470,547343.7,25.98,550770,461963,462471.3,76019,78,Medium,17-02-2026
PRF00019,CLT021,PRJ015,REV00019,3759105,2920535,161931.1,5.25,598216,370483,676638.9,9545,69,Low,22-06-2025
PRF00020,CLT027,PRJ019,REV00020,3271044,2345201,337055.08,12.57,724377,216355,588787.92,98992,97,Low,11-02-2026
PRF00021,CLT029,PRJ020,REV00021,4284386,2608694,904502.52,25.75,435239,333195,771189.48,10561,48,Medium,18-03-2026
PRF00022,CLT010,PRJ008,REV00022,1331823,757074,335020.86,30.68,883826,435159,239728.14,71582,91,Medium,22-02-2026
