milestone_id,project_id,phase_id,milestone_name,due_date,achieved_date,milestone_status,milestone_completion_percentage
MLS0001,PRJ001,PHS0001,Requirement Gathering Milestone 1,15-01-2026,15-01-2026,Delayed,36
MLS0002,PRJ001,PHS0001,Requirement Gathering Milestone 2,15-01-2026,09-01-2026,Cancelled,47
MLS0003,PRJ001,PHS0002,Design Milestone 1,25-07-2025,24-07-2025,Achieved,73
MLS0004,PRJ001,PHS0002,Design Milestone 2,25-07-2025,13-07-2025,Pending,40
MLS0005,PRJ001,PHS0003,Development Milestone 1,26-08-2025,11-08-2025,Pending,77
MLS0006,PRJ001,PHS0003,Development Milestone 2,26-08-2025,26-08-2025,Delayed,50
MLS0007,PRJ001,PHS0004,Testing Milestone 1,23-11-2025,19-11-2025,Cancelled,82
MLS0008,PRJ001,PHS0004,Testing Milestone 2,23-11-2025,10-11-2025,Delayed,79
MLS0009,PRJ001,PHS0005,Deployment Milestone 1,15-02-2026,10-02-2026,Cancelled,19
MLS0010,PRJ001,PHS0005,Deployment Milestone 2,15-02-2026,15-02-2026,Pending,11
MLS0011,PRJ001,PHS0006,Support Milestone 1,29-10-2025,21-10-2025,Achieved,15
MLS0012,PRJ001,PHS0006,Support Milestone 2,29-10-2025,28-10-2025,Cancelled,74
MLS0013,PRJ002,PHS0007,Requirement Gathering Milestone 1,10-02-2026,01-02-2026,Cancelled,64
MLS0014,PRJ002,PHS0007,Requirement Gathering Milestone 2,10-02-2026,29-01-2026,Pending,91
MLS0015,PRJ002,PHS0008,Design Milestone 1,11-07-2026,07-07-2026,Delayed,20
MLS0016,PRJ002,PHS0008,Design Milestone 2,11-07-2026,02-07-2026,Pending,75
MLS0017,PRJ002,PHS0009,Development Milestone 1,05-12-2025,29-11-2025,Achieved,78
MLS0018,PRJ002,PHS0009,Development Milestone 2,05-12-2025,25-11-2025,Cancelled,85
MLS0019,PRJ002,PHS0010,Testing Milestone 1,02-10-2025,30-09-2025,Delayed,99
MLS0020,PRJ002,PHS0010,Testing Milestone 2,02-10-2025,19-09-2025,Achieved,17
MLS0021,PRJ002,PHS0011,Deployment Milestone 1,11-01-2026,04-01-2026,Pending,65
MLS0022,PRJ002,PHS0011,Deployment Milestone 2,11-01-2026,08-01-2026,Cancelled,88
MLS0023,PRJ002,PHS0012,Support Milestone 1,03-10-2025,02-10-2025,Delayed,95
MLS0024,PRJ002,PHS0012,Support Milestone 2,03-10-2025,28-09-2025,Pending,11
MLS0025,PRJ003,PHS0013,Requirement Gathering Milestone 1,05-02-2026,01-02-2026,Pending,30
MLS0026,PRJ003,PHS0013,Requirement Gathering Milestone 2,05-02-2026,21-01-2026,Delayed,76
MLS0027,PRJ003,PHS0014,Design Milestone 1,20-12-2025,12-12-2025,Achieved,57
MLS0028,PRJ003,PHS0014,Design Milestone 2,20-12-2025,16-12-2025,Delayed,25
MLS0029,PRJ003,PHS0015,Development Milestone 1,11-02-2026,11-02-2026,Delayed,64
MLS0030,PRJ003,PHS0015,Development Milestone 2,11-02-2026,03-02-2026,Pending,43
MLS0031,PRJ003,PHS0016,Testing Milestone 1,11-02-2026,09-02-2026,Cancelled,68
MLS0032,PRJ003,PHS0016,Testing Milestone 2,11-02-2026,31-01-2026,Pending,73
MLS0033,PRJ003,PHS0017,Deployment Milestone 1,26-06-2026,21-06-2026,Delayed,30
MLS0034,PRJ003,PHS0017,Deployment Milestone 2,26-06-2026,18-06-2026,Pending,83
MLS0035,PRJ003,PHS0018,Support Milestone 1,02-01-2026,30-12-2025,Achieved,75
MLS0036,PRJ003,PHS0018,Support Milestone 2,02-01-2026,02-01-2026,Pending,11
MLS0037,PRJ004,PHS0019,Requirement Gathering Milestone 1,29-04-2026,22-04-2026,Pending,70
MLS0038,PRJ004,PHS0019,Requirement Gathering Milestone 2,29-04-2026,18-04-2026,Cancelled,29
MLS0039,PRJ004,PHS0020,Design Milestone 1,14-10-2025,09-10-2025,Pending,80
MLS0040,PRJ004,PHS0020,Design Milestone 2,14-10-2025,01-10-2025,Achieved,51
MLS0041,PRJ004,PHS0021,Development Milestone 1,13-11-2025,06-11-2025,Cancelled,50
MLS0042,PRJ004,PHS0021,Development Milestone 2,13-11-2025,05-11-2025,Pending,83
MLS0043,PRJ004,PHS0022,Testing Milestone 1,18-12-2025,07-12-2025,Pending,74
MLS0044,PRJ004,PHS0022,Testing Milestone 2,18-12-2025,17-12-2025,Achieved,38
MLS0045,PRJ004,PHS0023,Deployment Milestone 1,04-12-2025,03-12-2025,Cancelled,18
MLS0046,PRJ004,PHS0023,Deployment Milestone 2,04-12-2025,20-11-2025,Delayed,49
MLS0047,PRJ004,PHS0024,Support Milestone 1,19-03-2026,09-03-2026,Pending,80
MLS0048,PRJ004,PHS0024,Support Milestone 2,19-03-2026,05-03-2026,Pending,57
MLS0049,PRJ005,PHS0025,Requirement Gathering Milestone 1,16-04-2026,10-04-2026,Delayed,82
MLS0050,PRJ005,PHS0025,Requirement Gathering Milestone 2,16-04-2026,07-04-2026,Achieved,69
MLS0051,PRJ005,PHS0026,Design Milestone 1,15-12-2025,04-12-2025,Cancelled,35
MLS0052,PRJ005,PHS0026,Design Milestone 2,15-12-2025,08-12-2025,Achieved,10
MLS0053,PRJ005,PHS0027,Development Milestone 1,09-09-2025,27-08-2025,Pending,39
MLS0054,PRJ005,PHS0027,Development Milestone 2,09-09-2025,29-08-2025,Pending,52
MLS0055,PRJ005,PHS0028,Testing Milestone 1,01-12-2025,01-12-2025,Cancelled,49
MLS0056,PRJ005,PHS0028,Testing Milestone 2,01-12-2025,28-11-2025,Achieved,77
MLS0057,PRJ005,PHS0029,Deployment Milestone 1,17-10-2025,10-10-2025,Cancelled,72
MLS0058,PRJ005,PHS0029,Deployment Milestone 2,17-10-2025,16-10-2025,Achieved,45
MLS0059,PRJ005,PHS0030,Support Milestone 1,09-01-2026,07-01-2026,Pending,39
MLS0060,PRJ005,PHS0030,Support Milestone 2,09-01-2026,27-12-2025,Delayed,68
MLS0061,PRJ006,PHS0031,Requirement Gathering Milestone 1,17-10-2025,15-10-2025,Pending,74
MLS0062,PRJ006,PHS0031,Requirement Gathering Milestone 2,17-10-2025,13-10-2025,Cancelled,19
MLS0063,PRJ006,PHS0032,Design Milestone 1,28-02-2026,27-02-2026,Cancelled,94
MLS0064,PRJ006,PHS0032,Design Milestone 2,28-02-2026,24-02-2026,Achieved,47
MLS0065,PRJ006,PHS0033,Development Milestone 1,11-07-2026,03-07-2026,Delayed,60
MLS0066,PRJ006,PHS0033,Development Milestone 2,11-07-2026,01-07-2026,Delayed,67
MLS0067,PRJ006,PHS0034,Testing Milestone 1,14-05-2026,06-05-2026,Achieved,19
MLS0068,PRJ006,PHS0034,Testing Milestone 2,14-05-2026,08-05-2026,Achieved,84
MLS0069,PRJ006,PHS0035,Deployment Milestone 1,08-09-2025,05-09-2025,Achieved,23
MLS0070,PRJ006,PHS0035,Deployment Milestone 2,08-09-2025,03-09-2025,Cancelled,69
MLS0071,PRJ006,PHS0036,Support Milestone 1,29-10-2025,19-10-2025,Cancelled,25
MLS0072,PRJ006,PHS0036,Support Milestone 2,29-10-2025,18-10-2025,Achieved,67
MLS0073,PRJ007,PHS0037,Requirement Gathering Milestone 1,23-02-2026,14-02-2026,Cancelled,43
MLS0074,PRJ007,PHS0037,Requirement Gathering Milestone 2,23-02-2026,20-02-2026,Pending,30
MLS0075,PRJ007,PHS0038,Design Milestone 1,16-07-2026,07-07-2026,Pending,37
MLS0076,PRJ007,PHS0038,Design Milestone 2,16-07-2026,06-07-2026,Achieved,21
MLS0077,PRJ007,PHS0039,Development Milestone 1,03-01-2026,27-12-2025,Delayed,60
MLS0078,PRJ007,PHS0039,Development Milestone 2,03-01-2026,02-01-2026,Delayed,43
MLS0079,PRJ007,PHS0040,Testing Milestone 1,07-09-2025,02-09-2025,Pending,61
MLS0080,PRJ007,PHS0040,Testing Milestone 2,07-09-2025,24-08-2025,Achieved,22
MLS0081,PRJ007,PHS0041,Deployment Milestone 1,26-01-2026,12-01-2026,Pending,27
MLS0082,PRJ007,PHS0041,Deployment Milestone 2,26-01-2026,23-01-2026,Pending,17
