project_id,planned_budget_variance,timeline_variance,resource_utilization_score,team_productivity_score,project_success_score,milestone_achievement_rate,task_completion_rate,risk_count
PRJ001,-456390,15,43,98,98,80,92,19
PRJ002,-396422,78,73,45,82,91,70,17
PRJ003,90344,43,84,74,73,75,98,18
PRJ004,174442,-5,58,60,48,78,98,7
PRJ005,-192811,90,80,67,65,77,74,3
PRJ006,14290,-27,71,46,60,85,80,20
PRJ007,-92305,9,71,90,89,68,99,2
PRJ008,53176,76,42,52,100,55,69,19
PRJ009,284179,85,76,74,51,91,70,2
PRJ010,60245,-27,43,59,64,62,72,18
PRJ011,-445018,75,92,83,95,77,97,17
PRJ012,49437,78,51,72,63,93,94,2
PRJ013,454898,-3,46,69,100,61,64,11
PRJ014,-423493,61,53,71,53,86,90,20
PRJ015,-483650,-25,99,64,53,94,57,10
PRJ016,-495032,85,55,82,92,71,61,13
PRJ017,366723,-1,63,98,93,75,52,5
PRJ018,-351449,46,55,79,82,66,77,19
PRJ019,244669,80,97,80,59,63,91,9
PRJ020,-70920,58,40,66,92,76,74,9
