phase_id,project_id,phase_name,phase_start_date,phase_end_date,phase_status,order_sequence
PHS0001,PRJ001,Requirement Gathering,05-12-2025,15-01-2026,In Progress,1
PHS0002,PRJ001,Design,30-05-2025,25-07-2025,Not Started,2
PHS0003,PRJ001,Development,14-07-2025,26-08-2025,In Progress,3
PHS0004,PRJ001,Testing,07-09-2025,23-11-2025,Completed,4
PHS0005,PRJ001,Deployment,20-01-2026,15-02-2026,In Progress,5
PHS0006,PRJ001,Support,08-10-2025,29-10-2025,In Progress,6
PHS0007,PRJ002,Requirement Gathering,04-01-2026,10-02-2026,Not Started,1
PHS0008,PRJ002,Design,03-05-2026,11-07-2026,Completed,2
PHS0009,PRJ002,Development,12-09-2025,05-12-2025,Completed,3
PHS0010,PRJ002,Testing,11-07-2025,02-10-2025,In Progress,4
PHS0011,PRJ002,Deployment,21-10-2025,11-01-2026,In Progress,5
PHS0012,PRJ002,Support,19-07-2025,03-10-2025,In Progress,6
PHS0013,PRJ003,Requirement Gathering,26-12-2025,05-02-2026,Not Started,1
PHS0014,PRJ003,Design,27-11-2025,20-12-2025,Not Started,2
PHS0015,PRJ003,Development,16-12-2025,11-02-2026,Not Started,3
PHS0016,PRJ003,Testing,18-12-2025,11-02-2026,Not Started,4
PHS0017,PRJ003,Deployment,30-03-2026,26-06-2026,In Progress,5
PHS0018,PRJ003,Support,22-11-2025,02-01-2026,In Progress,6
PHS0019,PRJ004,Requirement Gathering,05-02-2026,29-04-2026,Completed,1
PHS0020,PRJ004,Design,21-07-2025,14-10-2025,Not Started,2
PHS0021,PRJ004,Development,10-10-2025,13-11-2025,In Progress,3
PHS0022,PRJ004,Testing,20-09-2025,18-12-2025,In Progress,4
PHS0023,PRJ004,Deployment,06-09-2025,04-12-2025,Not Started,5
PHS0024,PRJ004,Support,02-01-2026,19-03-2026,Completed,6
PHS0025,PRJ005,Requirement Gathering,28-02-2026,16-04-2026,In Progress,1
PHS0026,PRJ005,Design,12-11-2025,15-12-2025,Completed,2
PHS0027,PRJ005,Development,20-07-2025,09-09-2025,In Progress,3
PHS0028,PRJ005,Testing,07-11-2025,01-12-2025,In Progress,4
PHS0029,PRJ005,Deployment,25-08-2025,17-10-2025,In Progress,5
PHS0030,PRJ005,Support,09-12-2025,09-01-2026,In Progress,6
PHS0031,PRJ006,Requirement Gathering,12-09-2025,17-10-2025,Not Started,1
PHS0032,PRJ006,Design,13-01-2026,28-02-2026,Completed,2
PHS0033,PRJ006,Development,08-05-2026,11-07-2026,Completed,3
PHS0034,PRJ006,Testing,01-03-2026,14-05-2026,Not Started,4
PHS0035,PRJ006,Deployment,02-08-2025,08-09-2025,Not Started,5
PHS0036,PRJ006,Support,13-09-2025,29-10-2025,Not Started,6
PHS0037,PRJ007,Requirement Gathering,21-12-2025,23-02-2026,Completed,1
PHS0038,PRJ007,Design,22-05-2026,16-07-2026,Completed,2
PHS0039,PRJ007,Development,07-10-2025,03-01-2026,Not Started,3
PHS0040,PRJ007,Testing,08-07-2025,07-09-2025,Completed,4
PHS0041,PRJ007,Deployment,30-11-2025,26-01-2026,In Progress,5
PHS0042,PRJ007,Support,24-04-2026,17-06-2026,Completed,6
PHS0043,PRJ008,Requirement Gathering,21-08-2025,22-09-2025,Not Started,1
PHS0044,PRJ008,Design,28-02-2026,11-05-2026,Not Started,2
PHS0045,PRJ008,Development,05-03-2026,29-04-2026,Completed,3
PHS0046,PRJ008,Testing,05-02-2026,13-03-2026,Completed,4
PHS0047,PRJ008,Deployment,21-01-2026,26-02-2026,Not Started,5
PHS0048,PRJ008,Support,24-07-2025,31-08-2025,Completed,6
PHS0049,PRJ009,Requirement Gathering,21-04-2026,21-06-2026,Not Started,1
PHS0050,PRJ009,Design,05-09-2025,14-11-2025,In Progress,2
PHS0051,PRJ009,Development,03-08-2025,10-09-2025,Completed,3
PHS0052,PRJ009,Testing,23-08-2025,16-10-2025,Completed,4
PHS0053,PRJ009,Deployment,12-12-2025,23-02-2026,In Progress,5
PHS0054,PRJ009,Support,04-04-2026,20-06-2026,Not Started,6
PHS0055,PRJ010,Requirement Gathering,20-06-2025,21-07-2025,In Progress,1
PHS0056,PRJ010,Design,09-12-2025,04-03-2026,Completed,2
PHS0057,PRJ010,Development,13-10-2025,07-12-2025,Completed,3
PHS0058,PRJ010,Testing,31-01-2026,08-04-2026,In Progress,4
PHS0059,PRJ010,Deployment,19-07-2025,09-10-2025,In Progress,5
PHS0060,PRJ010,Support,20-11-2025,10-12-2025,Completed,6
PHS0061,PRJ011,Requirement Gathering,28-01-2026,28-02-2026,Completed,1
PHS0062,PRJ011,Design,12-12-2025,28-02-2026,Completed,2
PHS0063,PRJ011,Development,31-01-2026,06-04-2026,Not Started,3
PHS0064,PRJ011,Testing,25-03-2026,21-06-2026,In Progress,4
PHS0065,PRJ011,Deployment,09-07-2025,25-08-2025,In Progress,5
PHS0066,PRJ011,Support,14-07-2025,30-08-2025,In Progress,6
PHS0067,PRJ012,Requirement Gathering,22-06-2025,15-08-2025,In Progress,1
PHS0068,PRJ012,Design,10-12-2025,04-02-2026,In Progress,2
PHS0069,PRJ012,Development,05-06-2025,03-09-2025,Completed,3
PHS0070,PRJ012,Testing,09-07-2025,14-08-2025,Completed,4
PHS0071,PRJ012,Deployment,06-10-2025,27-12-2025,In Progress,5
PHS0072,PRJ012,Support,30-10-2025,25-11-2025,Not Started,6
PHS0073,PRJ013,Requirement Gathering,02-01-2026,03-02-2026,Completed,1
PHS0074,PRJ013,Design,27-12-2025,15-03-2026,Not Started,2
PHS0075,PRJ013,Development,05-07-2025,09-08-2025,Not Started,3
PHS0076,PRJ013,Testing,16-01-2026,02-04-2026,In Progress,4
PHS0077,PRJ013,Deployment,21-12-2025,10-01-2026,In Progress,5
PHS0078,PRJ013,Support,30-07-2025,13-09-2025,Completed,6
PHS0079,PRJ014,Requirement Gathering,02-02-2026,10-03-2026,Completed,1
PHS0080,PRJ014,Design,22-09-2025,19-11-2025,Not Started,2
PHS0081,PRJ014,Development,11-03-2026,05-05-2026,Not Started,3
PHS0082,PRJ014,Testing,09-07-2025,13-09-2025,In Progress,4
PHS0083,PRJ014,Deployment,22-10-2025,21-11-2025,In Progress,5
PHS0084,PRJ014,Support,13-08-2025,23-09-2025,Not Started,6
PHS0085,PRJ015,Requirement Gathering,20-06-2025,29-08-2025,Completed,1
PHS0086,PRJ015,Design,13-08-2025,11-10-2025,Completed,2
PHS0087,PRJ015,Development,16-11-2025,04-01-2026,In Progress,3
PHS0088,PRJ015,Testing,12-03-2026,12-04-2026,Completed,4
PHS0089,PRJ015,Deployment,01-12-2025,02-01-2026,Not Started,5
PHS0090,PRJ015,Support,30-07-2025,15-09-2025,In Progress,6
PHS0091,PRJ016,Requirement Gathering,21-06-2025,20-07-2025,Not Started,1
PHS0092,PRJ016,Design,26-12-2025,12-02-2026,Completed,2
PHS0093,PRJ016,Development,07-06-2025,22-08-2025,Not Started,3
PHS0094,PRJ016,Testing,29-07-2025,19-08-2025,Completed,4
PHS0095,PRJ016,Deployment,30-01-2026,03-04-2026,Not Started,5
PHS0096,PRJ016,Support,26-02-2026,11-05-2026,Completed,6
PHS0097,PRJ017,Requirement Gathering,21-10-2025,26-11-2025,In Progress,1
PHS0098,PRJ017,Design,21-08-2025,19-09-2025,Not Started,2
PHS0099,PRJ017,Development,26-09-2025,04-12-2025,Not Started,3
PHS0100,PRJ017,Testing,21-05-2026,23-06-2026,Not Started,4
PHS0101,PRJ017,Deployment,17-01-2026,18-03-2026,In Progress,5
PHS0102,PRJ017,Support,17-03-2026,14-05-2026,Not Started,6
PHS0103,PRJ018,Requirement Gathering,22-10-2025,29-12-2025,Not Started,1
PHS0104,PRJ018,Design,29-04-2026,06-06-2026,Not Started,2
PHS0105,PRJ018,Development,05-12-2025,02-03-2026,Completed,3
PHS0106,PRJ018,Testing,09-02-2026,02-03-2026,Completed,4
PHS0107,PRJ018,Deployment,13-03-2026,23-04-2026,In Progress,5
