forecast_id,client_id,project_id,forecast_period,predicted_revenue,expected_growth_percentage,forecast_confidence_score,forecast_category,forecast_created_date,forecast_owner
FRC00001,CLT008,PRJ001,Jan-26,2953485,29.19,94,Realistic,30-10-2025,Stephanie Warner
FRC00002,CLT001,PRJ006,May-26,4598365,-2.08,84,Optimistic,20-02-2026,Eric Christian
FRC00003,CLT024,PRJ019,Feb-26,852375,31.38,98,Conservative,21-11-2025,Mark Sparks
FRC00004,CLT011,PRJ015,Jan-26,2655374,-1.82,85,Conservative,21-10-2025,Kimberly Potts
FRC00005,CLT016,PRJ018,Feb-26,2636816,38.87,98,Realistic,19-11-2025,Aaron Cortez
FRC00006,CLT001,PRJ004,Sep-25,4934571,23.46,69,Realistic,15-06-2025,Angela Valenzuela
FRC00007,CLT034,PRJ001,May-26,3637690,40.75,76,Conservative,25-02-2026,Gerald Smith
FRC00008,CLT035,PRJ007,Mar-26,3159053,38.98,64,Conservative,16-12-2025,Jack Mccoy
FRC00009,CLT014,PRJ018,Sep-25,6254816,32.08,81,Optimistic,26-06-2025,James Schneider
FRC00010,CLT029,PRJ005,Feb-26,1704610,37.47,63,Optimistic,05-11-2025,Christina Garcia
FRC00011,CLT030,PRJ010,May-26,5367165,-5.71,71,Optimistic,12-02-2026,Ms. Amber Dunn
FRC00012,CLT016,PRJ013,Dec-25,5188986,-12.62,89,Conservative,16-09-2025,Susan Martinez
FRC00013,CLT014,PRJ017,Mar-26,1347902,37.76,67,Optimistic,06-12-2025,Gregory Olson
FRC00014,CLT019,PRJ020,Dec-25,3867384,14.31,95,Conservative,19-09-2025,Kayla Johnson
FRC00015,CLT005,PRJ005,Oct-25,402409,-7.35,70,Optimistic,06-07-2025,Lauren Hodge
FRC00016,CLT022,PRJ014,Sep-25,2483013,27.08,77,Realistic,07-06-2025,Amanda Walker
FRC00017,CLT035,PRJ011,Jun-26,1149471,42.75,83,Realistic,03-03-2026,Kayla Vaughn
FRC00018,CLT021,PRJ004,May-26,3007913,9.5,78,Optimistic,07-02-2026,Jamie Wilkerson
FRC00019,CLT021,PRJ015,Sep-25,4963350,13.39,62,Optimistic,12-06-2025,George Mccarty
FRC00020,CLT027,PRJ019,May-26,4109369,-6.15,93,Conservative,01-02-2026,Charles Bowman
FRC00021,CLT029,PRJ020,Jun-26,5454437,38.83,77,Realistic,08-03-2026,Morgan Taylor
FRC00022,CLT010,PRJ008,May-26,1615212,9.46,86,Conservative,12-02-2026,Nicole Patterson
FRC00023,CLT039,PRJ008,Oct-25,2175824,-13.26,89,Optimistic,24-07-2025,Tiffany Price
FRC00024,CLT014,PRJ015,Feb-26,3389595,42.07,72,Optimistic,03-11-2025,Jennifer Lewis
